icao_code,iata_code,airport_name,city,country,lat_degrees,lat_minutes,lat_seconds,lat_direction,lon_degrees,lon_minutes,lon_seconds,lon_direction,altitude,lat_dec,lon_dec
PTRO,ROR,BABELTHUAP,BABELTHUAP,PALAU ISLAND,007,022,003,N,134,032,038,E,00054,7.367,134.544
PTSA,KSA,KOSRAE,KOSRAE,MICRONESIA,005,021,024,N,162,057,030,E,00004,5.357,162.958
PTYA,YAP,YAP INTERNATIONAL,YAP,MICRONESIA,009,029,055,N,138,004,056,E,00028,9.499,138.082
RCBS,KNH,SHANG YI,CHINMEN,TAIWAN,024,025,055,N,118,021,034,E,00029,24.432,118.359
RCCM,CMJ,N/A,CHIMEI,TAIWAN,000,000,000,U,000,000,000,U,00000,0,0
RCDC,PIF,PINGTUNG SOUTH,PINGTUNG,TAIWAN,022,040,020,N,120,027,042,E,00024,22.672,120.462
RCDI,N/A,LUNGTANG,LONGTANG,TAIWAN,024,051,018,N,121,014,015,E,00242,24.855,121.237
RCFN,TTT,FENGNIN,FENGNIN,TAIWAN,022,045,024,N,121,005,036,E,00044,22.757,121.093
RCFS,N/A,N/A,CHIATUNG,TAIWAN,000,000,000,U,000,000,000,U,00000,0,0
RCFZ,N/A,N/A,FENGSHAN,TAIWAN,000,000,000,U,000,000,000,U,00000,0,0
RCGI,GNI,GREEN ISLAND,GREEN ISLAND,TAIWAN,022,040,028,N,121,027,030,E,00009,22.674,121.458
RCGM,N/A,TAOYUAN,TAOYUAN,TAIWAN,025,003,020,N,121,014,033,E,00045,25.056,121.243
RCKH,KHH,KAOHSIUNG INTERNATIONAL,KAOHSIUNG,TAIWAN,022,034,031,N,120,021,003,E,00010,22.575,120.351
RCKU,CYI,CHIAYI,CHIAYI,TAIWAN,023,027,042,N,120,023,034,E,00026,23.462,120.393
RCKW,N/A,N/A,HENGCHUN,TAIWAN,000,000,000,U,000,000,000,U,00000,0,0
RCLC,N/A,N/A,LIU CHIU YU,TAIWAN,000,000,000,U,000,000,000,U,00000,0,0
RCLG,TXG,TAICHUNG,CHUNG,TAIWAN,024,011,010,N,120,039,013,E,00113,24.186,120.654
RCLS,N/A,N/A,LISHAN,TAIWAN,000,000,000,U,000,000,000,U,00000,0,0
RCLU,N/A,N/A,CHILUNG,TAIWAN,000,000,000,U,000,000,000,U,00000,0,0
RCLY,KYD,LANYU,LANYU,TAIWAN,022,001,046,N,121,031,038,E,00002,22.029,121.527
RCMJ,N/A,N/A,TUNGKONG,TAIWAN,000,000,000,U,000,000,000,U,00000,0,0
RCMQ,N/A,CHING CHUAN KANG AB,CHINGCHUAKANG,TAIWAN,024,015,052,N,120,037,014,E,00203,24.264,120.621
RCMS,N/A,N/A,ILAN,TAIWAN,000,000,000,U,000,000,000,U,00000,0,0
RCMT,MZW,MATSU,MATSU,TAIWAN,026,013,026,N,120,000,009,E,00013,26.224,120.002
RCNN,TNN,TAINAN,TAINAN,TAIWAN,022,057,001,N,120,012,020,E,00020,22.95,120.206
RCNO,N/A,N/A,TUNGSHIH,TAIWAN,000,000,000,U,000,000,000,U,00000,0,0
RCPO,N/A,HSINCHU,HSINCHU,TAIWAN,024,049,004,N,120,056,021,E,00008,24.818,120.939
RCQC,MZG,MAKUNG,MAKUNG,TAIWAN,023,034,007,N,119,037,041,E,00032,23.569,119.628
RCQS,N/A,CHIHHONG,TAITUNG,TAIWAN,022,047,035,N,121,010,055,E,00037,22.793,121.182
RCRA,N/A,TSOYING,TSOYING,TAIWAN,022,042,017,N,120,016,050,E,00010,22.705,120.281
RCSC,N/A,N/A,FUWEI,TAIWAN,000,000,000,U,000,000,000,U,00000,0,0
RCSM,N/A,N/A,SUN MOON LAKE,TAIWAN,000,000,000,U,000,000,000,U,00000,0,0
RCSQ,N/A,PINGTUNG NORTH,PINGTUNG,TAIWAN,022,042,000,N,120,028,056,E,00030,22.7,120.482
RCSS,TSA,SUNGSHAN,TAIPEI,TAIWAN,025,004,010,N,121,033,006,E,00006,25.069,121.552
RCTP,TPE,CHIANG KAI SHEK INTERNATIONAL,TAIPEI,TAIWAN,025,004,048,N,121,013,056,E,00033,25.08,121.232
RCUK,N/A,N/A,PARQUEI,TAIWAN,000,000,000,U,000,000,000,U,00000,0,0
RCWA,WOT,WANG AN,WANG AN,TAIWAN,023,022,015,N,119,029,040,E,00004,23.371,119.494
RCWK,N/A,N/A,HSINSHIE,TAIWAN,000,000,000,U,000,000,000,U,00000,0,0
RCXY,N/A,N/A,KUEIJEN,TAIWAN,000,000,000,U,000,000,000,U,00000,0,0
RCYU,HUN,HUALIEN,HUALIEN,TAIWAN,024,001,023,N,121,037,004,E,00016,24.023,121.618
RJAA,NRT,NEW TOKYO INTERNATIONAL,TOKYO,JAPAN,035,045,053,N,140,023,011,E,00043,35.765,140.386
RJAF,MMJ,MATSUMOTO,MATSUMOTO,JAPAN,036,010,000,N,137,055,022,E,00666,36.167,137.923
RJAH,N/A,HYAKURI,HYAKURI,JAPAN,036,010,051,N,140,024,055,E,00033,36.181,140.415
RJAI,N/A,N/A,ICHIGAYA,JAPAN,000,000,000,U,000,000,000,U,00000,0,0
RJAK,N/A,N/A,KASUMIGAURA,JAPAN,000,000,000,U,000,000,000,U,00000,0,0
RJAM,N/A,MINAMI TORISHIMA,MINAMI TORI SHIMA,JAPAN,024,017,022,N,153,058,044,E,00007,24.289,153.979
RJAN,KIJ,N/A,NIGATA,JAPAN,000,000,000,U,000,000,000,U,00000,0,0
RJAO,N/A,N/A,CHICHIJIMA,JAPAN,000,000,000,U,000,000,000,U,00000,0,0
RJAT,N/A,N/A,TAKIGAHARA,JAPAN,000,000,000,U,000,000,000,U,00000,0,0
RJAW,IWO,IWO JIMA,IWOJIMA,JAPAN,024,047,002,N,141,019,021,E,00116,24.784,141.322
RJBD,SHM,NANKI SHIRAHAMA,NANKI-SHIRAHAMA,JAPAN,033,039,044,N,135,021,052,E,00091,33.662,135.364
RJBK,N/A,KOHNAN,KOHNAN,JAPAN,034,035,027,N,133,055,059,E,00001,34.591,133.933
RJCA,N/A,N/A,ASAHIKAWA,JAPAN,000,000,000,U,000,000,000,U,00000,0,0
RJCB,OBO,OBIHIRO,OBIHIRO,JAPAN,042,044,000,N,143,013,002,E,00154,42.733,143.217
RJCC,CTS,CHITOSE INTERNATIONAL AIRPORT,SAPPORO,JAPAN,042,046,030,N,141,041,032,E,00025,42.775,141.692
RJCH,HKD,HAKODATE,HAKODATE,JAPAN,041,046,012,N,140,049,019,E,00047,41.77,140.822
RJCJ,SPK,CHITOSE,CHITOSE,JAPAN,042,047,040,N,141,039,059,E,00027,42.794,141.666
RJCM,MMB,MEMANBETSU,MEMANBETSU,JAPAN,043,052,050,N,144,009,050,E,00042,43.881,144.164
RJCN,SHB,NAKASHIBETSU,NAKASHIBETSU,JAPAN,043,034,038,N,144,057,035,E,00072,43.577,144.96
RJCO,SPK,SAPPORO,SAPPORO,JAPAN,043,006,058,N,141,022,048,E,00008,43.116,141.38
RJCR,RBJ,N/A,REBUN,JAPAN,000,000,000,U,000,000,000,U,00000,0,0
RJCS,KUH,N/A,KUSHIRO,JAPAN,000,000,000,U,000,000,000,U,00000,0,0
RJCT,N/A,TOKACHI,TOKACHI,JAPAN,042,053,025,N,143,009,030,E,00084,42.89,143.158
RJCW,WKJ,WAKKANAI,WAKKANAI,JAPAN,045,024,014,N,141,048,003,E,00010,45.404,141.801
RJCY,N/A,N/A,MURORAN,JAPAN,000,000,000,U,000,000,000,U,00000,0,0
RJDB,IKI,IKI,IKI,JAPAN,033,044,056,N,129,047,007,E,00016,33.749,129.785
RJDC,UBJ,YAMAGUCHI UBE,YAMAGUCHI,JAPAN,033,055,048,N,131,016,044,E,00008,33.93,131.279
RJDK,N/A,N/A,KAMIGOTO,JAPAN,000,000,000,U,000,000,000,U,00000,0,0
RJDM,N/A,N/A,METABARU,JAPAN,000,000,000,U,000,000,000,U,00000,0,0
RJDO,N/A,N/A,OJIKA,JAPAN,000,000,000,U,000,000,000,U,00000,0,0
RJDT,TSJ,TSUSHIMA,TSUSHIMA,JAPAN,034,017,005,N,129,019,049,E,00065,34.285,129.33
RJEB,MBE,MONBETSU,MONBETSU,JAPAN,044,018,014,N,143,024,014,E,00025,44.304,143.404
RJEC,AKJ,ASAHIKAWA,ASAHIKAWA,JAPAN,043,040,015,N,142,026,051,E,00220,43.671,142.447
RJEO,OIR,N/A,OKUSHIRI,JAPAN,000,000,000,U,000,000,000,U,00000,0,0
RJER,RIS,RISHIRI,RISHIRI ISLAND,JAPAN,045,014,031,N,141,011,011,E,00035,45.242,141.186
RJFA,N/A,ASHIYA,ASHIYA,JAPAN,033,052,059,N,130,039,010,E,00030,33.883,130.653
RJFC,KUM,YAKUSHIMA,YAKUSHIMA,JAPAN,030,023,008,N,130,039,032,E,00038,30.386,130.659
RJFE,FUJ,FUKUE,FUKUE,JAPAN,032,039,058,N,128,049,058,E,00084,32.666,128.833
RJFF,FUK,FUKUOKA,FUKUOKA,JAPAN,033,035,011,N,130,027,000,E,00010,33.586,130.45
RJFG,TNE,TANEGASHIMA,TANEGASHIMA,JAPAN,030,032,048,N,130,057,000,E,00098,30.547,130.95
RJFK,KOJ,KAGOSHIMA,KAGOSHIMA,JAPAN,031,048,012,N,130,043,009,E,00277,31.803,130.719
RJFM,KMI,MIYAZAKI,MIYAZAKI,JAPAN,031,052,037,N,131,026,054,E,00007,31.877,131.448
RJFN,N/A,NYUTABARU,NYUTABARU,JAPAN,032,005,001,N,131,027,006,E,00079,32.084,131.452
RJFO,OIT,OITA,OITA,JAPAN,033,028,046,N,131,044,014,E,00006,33.479,131.737
RJFR,KKJ,KITAKYUSHU,KITAKYUSHU,JAPAN,033,050,010,N,130,056,049,E,00006,33.836,130.947
